1024,6.45494461,4.69803810
1024,6.30187988,4.51779366
1024,6.87003136,4.79602814
1024,6.28805161,4.49609756
1024,6.37888908,4.62007523
2048,11.05499268,8.23116302
2048,11.04402542,8.20589066
2048,11.92903519,8.54516029
2048,11.48200035,8.59808922
2048,11.31486893,8.42499733
4096,19.76919174,14.48798180
4096,19.90008354,14.47105408
4096,20.55788040,15.10500908
4096,20.24102211,14.53208923
4096,20.06196976,14.59002495
8192,37.89305687,27.45199203
8192,38.10596466,27.32706070
8192,37.80817986,27.53686905
8192,37.82010078,27.51398087
8192,37.67204285,27.18400955
16384,78.42087746,51.80406570
16384,74.28717613,52.22487450
16384,76.03287697,53.81894112
16384,74.33390617,53.19309235
16384,74.31793213,52.36101151
32768,152.90880203,104.90584373
32768,152.36997604,103.62505913
32768,157.95803070,108.63900185
32768,152.50706673,103.97505760
32768,159.43288803,111.07492447
65536,324.30195808,218.47486496
65536,320.80006599,216.10617638
65536,312.57295609,208.99701118
65536,307.54399300,212.37087250
65536,311.27214432,211.13014221
131072,573.78315926,392.11606979
131072,584.34081078,396.19803429
131072,575.70099831,392.35782623
131072,594.82812881,398.27799797
131072,577.66199112,393.73588562
262144,1103.80911827,756.16002083
262144,1091.93682671,756.40201569
262144,1103.66201401,752.65097618
262144,1082.84997940,744.88210678
262144,1091.09187126,757.73811340
