1024,4.3270,0.1470,0.7278,0.5661,1.3749
2048,7.4409,0.1945,1.3301,1.0640,2.3926
4096,14.6465,0.2998,2.5712,2.1719,5.0488
8192,26.2470,0.4954,4.5938,3.9062,9.1218
16384,50.4116,0.8522,9.3534,7.5682,17.2462
32768,100.6733,1.5785,19.1750,16.4110,32.8820
65536,193.6710,2.9545,36.5816,32.6024,61.0230
131072,370.9382,5.6399,68.1558,60.3409,118.0868
262144,726.7837,11.0688,128.3983,113.0779,237.3939
1024,4.3270,0.1470,0.7278,0.5661,1.3749
2048,7.4409,0.1945,1.3301,1.0640,2.3926
4096,14.6465,0.2998,2.5712,2.1719,5.0488
8192,26.2470,0.4954,4.5938,3.9062,9.1218
16384,50.4116,0.8522,9.3534,7.5682,17.2462
32768,100.6733,1.5785,19.1750,16.4110,32.8820
65536,193.6710,2.9545,36.5816,32.6024,61.0230
131072,370.9382,5.6399,68.1558,60.3409,118.0868
262144,726.7837,11.0688,128.3983,113.0779,237.3939
1024,4.7710,0.1648,0.6528,0.8729,1.4532
2048,7.4426,0.1988,1.0942,1.3310,2.3161
4096,13.3698,0.2831,1.9864,2.3752,4.2830
8192,26.2522,0.4868,4.0816,4.5766,9.1434
16384,50.1159,0.8514,8.0796,9.1988,16.5784
32768,98.0108,1.5926,15.3988,18.0940,32.6314
65536,189.1725,2.9604,30.7875,34.7973,60.4727
131072,368.3292,5.6550,59.0744,66.3472,117.9666
262144,722.2726,11.0740,111.0604,126.9843,236.2482
4096,13.5496,0.2868,1.9688,2.3509,4.4438
8192,26.5320,0.5004,4.0646,4.5113,9.3576
12288,38.1354,0.6802,5.8732,6.6935,13.1718
16384,49.6695,0.8508,7.6176,9.0772,16.7531
20480,62.6707,1.0367,10.1496,11.4172,20.9193
24576,74.2282,1.2210,11.6166,13.6174,24.8274
28672,84.9701,1.3924,13.2882,15.6666,28.0764
32768,97.8703,1.5882,15.5559,18.1277,32.3206
36864,110.7600,1.7528,18.1716,20.4085,36.3460
40960,121.7882,1.9242,20.0152,22.5832,39.4363
45056,132.8968,2.1016,21.6774,24.5144,42.9430
49152,146.0804,2.2746,25.0256,26.7536,46.7468
53248,156.1350,2.4500,25.5836,28.8975,50.1838
57344,167.8466,2.6164,27.9330,31.0206,53.5264
61440,179.0582,2.7856,29.7440,32.8348,57.2208
65536,191.0312,2.9641,31.2881,35.2184,61.2210
69632,201.1680,3.1234,32.9870,37.3434,64.0110
73728,212.1724,3.2970,34.0968,39.5754,67.5884
77824,221.1588,3.4606,35.8418,40.2768,70.8256
81920,235.8860,3.6366,38.3039,43.3296,75.8630
86016,245.5893,3.7990,39.5676,44.8106,78.7912
90112,258.0652,3.9552,41.6204,47.0390,82.4558
94208,267.0020,4.1286,42.9678,48.6726,85.4076
98304,280.6498,4.3122,44.9478,51.0854,90.2664
102400,287.2155,4.4758,45.4949,51.4586,92.5950
106496,302.4114,4.6462,48.2130,55.4006,96.9519
110592,313.5638,4.8164,50.3214,56.6308,100.7844
114688,322.6448,4.9782,51.6757,57.8994,103.6396
118784,337.6124,5.1677,53.6304,59.9994,109.4477
122880,348.7020,5.3218,55.9090,62.0135,113.0268
126976,356.4576,5.4915,56.3329,64.4571,114.8808
